Name,HeadCount,percentageOfFacesDetected
10001.jpg,3,75.0
10002.jpg,2,50.0
10003.jpg,1,50.0
10004.jpg,1,33.33333333333333
10006.jpg,3,75.0
10007.jpg,4,100.0
10008.jpg,4,66.66666666666666
10010.jpg,2,28.57142857142857
10011.jpg,2,33.33333333333333
10012.jpg,5,62.5
10013.jpg,6,150.0
10014.jpg,8,114.28571428571428
10016.jpg,3,150.0
10017.jpg,1,33.33333333333333
10018.jpg,2,50.0
10019.jpg,2,100.0
10020.jpg,2,50.0
10021.jpg,2,66.66666666666666
10026.jpg,1,50.0
10027.jpg,1,16.666666666666664
10028.jpg,3,100.0
10031.jpg,4,100.0
10032.jpg,3,75.0
10034.jpg,0,0.0
10035.jpg,2,50.0
10038.jpg,5,71.42857142857143
10039.jpg,7,140.0
10040.jpg,0,0.0
10041.jpg,2,50.0
10042.jpg,1,25.0
10043.jpg,1,50.0
10045.jpg,1,12.5
10046.jpg,2,66.66666666666666
10049.jpg,6,150.0
10051.jpg,4,100.0
10054.jpg,13,118.18181818181819
10055.jpg,2,66.66666666666666
10059.jpg,2,100.0
10060.jpg,0,0.0
10061.jpg,4,200.0
10062.jpg,2,100.0
10063.jpg,2,100.0
10066.jpg,3,150.0
10067.jpg,0,0.0
10069.jpg,1,50.0
10070.jpg,5,166.66666666666669
10072.jpg,6,100.0
10073.jpg,2,66.66666666666666
10074.jpg,3,150.0
10075.jpg,3,150.0
10076.jpg,0,0.0
10078.jpg,1,33.33333333333333
10080.jpg,4,133.33333333333331
10081.jpg,3,100.0
10082.jpg,2,100.0
10083.jpg,5,100.0
10084.jpg,4,80.0
10086.jpg,2,100.0
10087.jpg,0,0.0
10088.jpg,0,0.0
10089.jpg,1,50.0
10090.jpg,5,83.33333333333334
10092.jpg,4,66.66666666666666
10093.jpg,2,66.66666666666666
10095.jpg,1,50.0
10097.jpg,1,100.0
10098.jpg,5,125.0
10100.jpg,2,66.66666666666666
10102.jpg,2,100.0
10103.jpg,2,100.0
10104.jpg,3,100.0
10106.jpg,10,111.11111111111111
10107.jpg,10,125.0
10110.jpg,6,100.0
10113.jpg,7,100.0
10114.jpg,7,116.66666666666667
10115.jpg,4,100.0
10116.jpg,5,125.0
10117.jpg,4,100.0
10118.jpg,7,100.0
10119.jpg,4,50.0
10120.jpg,2,50.0
10121.jpg,6,85.71428571428571
10122.jpg,2,100.0
10123.jpg,2,100.0
10124.jpg,2,50.0
10125.jpg,7,140.0
10126.jpg,5,83.33333333333334
10130.jpg,5,83.33333333333334
10131.jpg,5,83.33333333333334
10133.jpg,2,66.66666666666666
10134.jpg,1,50.0
10136.jpg,5,125.0
10138.jpg,4,57.14285714285714
10141.jpg,1,12.5
10142.jpg,3,75.0
10143.jpg,2,100.0
10144.jpg,2,100.0
10145.jpg,4,200.0
10147.jpg,1,20.0
10148.jpg,3,150.0
10149.jpg,5,125.0
10150.jpg,0,0.0
10153.jpg,5,166.66666666666669
10154.jpg,0,0.0
10155.jpg,2,100.0
10158.jpg,1,14.285714285714285
10159.jpg,3,30.0
10160.jpg,3,60.0
10161.jpg,6,75.0
10162.jpg,1,25.0
10168.jpg,5,125.0
10169.jpg,1,33.33333333333333
10170.jpg,10,142.85714285714286
10171.jpg,5,71.42857142857143
10173.jpg,3,60.0
10174.jpg,2,50.0
10175.jpg,1,50.0
10176.jpg,0,0.0
10177.jpg,7,87.5
10179.jpg,5,125.0
10180.jpg,1,50.0
10183.jpg,2,40.0
10184.jpg,4,19.047619047619047
10185.jpg,3,50.0
10186.jpg,2,100.0
10187.jpg,2,100.0
10189.jpg,4,66.66666666666666
10192.jpg,2,66.66666666666666
10193.jpg,1,50.0
10194.jpg,5,100.0
10198.jpg,0,0.0
10199.jpg,3,150.0
10200.jpg,0,0.0
10203.jpg,4,200.0
10204.jpg,2,100.0
10205.jpg,3,150.0
10206.jpg,1,25.0
10207.jpg,2,66.66666666666666
10208.jpg,9,100.0
10209.jpg,7,140.0
10211.jpg,3,50.0
10213.jpg,2,100.0
10216.jpg,6,120.0
10217.jpg,7,100.0
10218.jpg,8,100.0
10219.jpg,8,133.33333333333331
10221.jpg,6,100.0
10222.jpg,7,100.0
10223.jpg,7,140.0
10226.jpg,4,100.0
10228.jpg,1,50.0
10229.jpg,1,50.0
10230.jpg,2,100.0
10231.jpg,1,50.0
10232.jpg,2,100.0
10234.jpg,3,150.0
10236.jpg,3,75.0
10237.jpg,3,150.0
10239.jpg,1,33.33333333333333
10240.jpg,1,33.33333333333333
10242.jpg,2,66.66666666666666
10244.jpg,2,100.0
10245.jpg,3,150.0
10246.jpg,3,75.0
10247.jpg,2,50.0
10248.jpg,2,100.0
10249.jpg,5,125.0
10250.jpg,3,150.0
10252.jpg,4,200.0
10254.jpg,1,50.0
10255.jpg,2,100.0
10257.jpg,9,69.23076923076923
10258.jpg,7,175.0
10259.jpg,4,200.0
10260.jpg,1,50.0
10262.jpg,2,100.0
10264.jpg,0,0.0
10267.jpg,4,100.0
10268.jpg,4,100.0
10269.jpg,6,150.0
10270.jpg,5,166.66666666666669
10271.jpg,5,166.66666666666669
10273.jpg,2,40.0
10276.jpg,7,116.66666666666667
10277.jpg,3,33.33333333333333
10279.jpg,3,150.0
10280.jpg,1,50.0
10282.jpg,1,50.0
10284.jpg,3,150.0
10285.jpg,2,100.0
10286.jpg,3,150.0
10287.jpg,2,100.0
10288.jpg,1,33.33333333333333
10289.jpg,4,133.33333333333331
10290.jpg,8,57.14285714285714
10294.jpg,9,128.57142857142858
10299.jpg,11,110.00000000000001
10300.jpg,2,40.0
10301.jpg,0,0.0
10302.jpg,3,75.0
10303.jpg,2,66.66666666666666
10304.jpg,6,150.0
10306.jpg,2,100.0
10307.jpg,6,100.0
10308.jpg,1,20.0
10311.jpg,1,50.0
10312.jpg,4,100.0
10313.jpg,3,37.5
10315.jpg,4,133.33333333333331
10317.jpg,5,166.66666666666669
10319.jpg,4,66.66666666666666
10320.jpg,7,46.666666666666664
10321.jpg,1,20.0
10322.jpg,2,100.0
10323.jpg,5,125.0
10325.jpg,1,33.33333333333333
10326.jpg,2,50.0
10327.jpg,6,75.0
10329.jpg,1,25.0
10333.jpg,1,20.0
10334.jpg,1,16.666666666666664
10335.jpg,3,50.0
10336.jpg,3,42.857142857142854
10337.jpg,3,150.0
10338.jpg,8,160.0
10341.jpg,3,100.0
10342.jpg,6,100.0
10343.jpg,1,25.0
10345.jpg,4,133.33333333333331
10348.jpg,3,100.0
10349.jpg,3,75.0
10350.jpg,3,100.0
10351.jpg,3,100.0
10353.jpg,5,125.0
10354.jpg,4,66.66666666666666
10355.jpg,3,75.0
10357.jpg,3,75.0
10359.jpg,4,100.0
10360.jpg,4,66.66666666666666
10361.jpg,5,62.5
10362.jpg,5,100.0
10364.jpg,3,75.0
10365.jpg,3,60.0
10368.jpg,2,66.66666666666666
10369.jpg,2,66.66666666666666
10370.jpg,4,100.0
10371.jpg,2,50.0
10373.jpg,0,0.0
10374.jpg,4,80.0
10376.jpg,4,100.0
10377.jpg,1,33.33333333333333
10380.jpg,3,75.0
10382.jpg,3,60.0
10383.jpg,1,50.0
10384.jpg,0,0.0
10385.jpg,4,133.33333333333331
10387.jpg,2,66.66666666666666
10388.jpg,3,100.0
10394.jpg,3,100.0
10395.jpg,2,66.66666666666666
10396.jpg,4,80.0
10397.jpg,3,100.0
10398.jpg,1,33.33333333333333
10399.jpg,6,150.0
10400.jpg,4,80.0
10401.jpg,2,50.0
10403.jpg,3,100.0
10405.jpg,5,166.66666666666669
10406.jpg,3,50.0
10407.jpg,4,133.33333333333331
10408.jpg,6,150.0
10411.jpg,3,75.0
10413.jpg,2,50.0
10415.jpg,2,50.0
10417.jpg,4,133.33333333333331
10418.jpg,4,133.33333333333331
10419.jpg,2,66.66666666666666
10420.jpg,5,125.0
10421.jpg,3,75.0
10423.jpg,3,42.857142857142854
10424.jpg,7,140.0
10425.jpg,7,140.0
10426.jpg,4,80.0
10427.jpg,5,125.0
10429.jpg,4,80.0
10430.jpg,8,133.33333333333331
10431.jpg,0,0.0
10433.jpg,4,133.33333333333331
10435.jpg,1,33.33333333333333
10436.jpg,2,66.66666666666666
10437.jpg,1,33.33333333333333
10439.jpg,5,62.5
10441.jpg,0,0.0
10442.jpg,2,25.0
10443.jpg,3,60.0
10445.jpg,1,25.0
10446.jpg,4,133.33333333333331
10447.jpg,1,33.33333333333333
10448.jpg,2,66.66666666666666
10449.jpg,2,66.66666666666666
10451.jpg,1,33.33333333333333
10452.jpg,2,66.66666666666666
10453.jpg,2,66.66666666666666
10455.jpg,3,100.0
10456.jpg,3,75.0
10457.jpg,3,75.0
10458.jpg,3,100.0
10461.jpg,5,125.0
10462.jpg,0,0.0
10463.jpg,5,83.33333333333334
10464.jpg,2,50.0
10465.jpg,3,75.0
10467.jpg,3,100.0
10469.jpg,3,50.0
10470.jpg,3,75.0
10471.jpg,3,75.0
10472.jpg,5,125.0
10473.jpg,3,75.0
10474.jpg,0,0.0
10475.jpg,3,100.0
10476.jpg,5,125.0
10477.jpg,4,100.0
10478.jpg,2,100.0
10480.jpg,1,33.33333333333333
10481.jpg,2,66.66666666666666
10482.jpg,1,33.33333333333333
10484.jpg,2,66.66666666666666
10485.jpg,1,33.33333333333333
10486.jpg,4,100.0
10487.jpg,2,50.0
10489.jpg,4,100.0
10490.jpg,3,100.0
10491.jpg,2,66.66666666666666
10492.jpg,2,66.66666666666666
10493.jpg,6,120.0
10496.jpg,1,25.0
10497.jpg,4,100.0
10499.jpg,1,25.0
10502.jpg,2,40.0
10503.jpg,6,54.54545454545454
10504.jpg,5,35.714285714285715
10505.jpg,11,64.70588235294117
10506.jpg,8,80.0
10507.jpg,3,60.0
10509.jpg,1,50.0
10510.jpg,3,150.0
10511.jpg,2,100.0
10512.jpg,0,0.0
10514.jpg,3,150.0
10516.jpg,4,200.0
10517.jpg,2,100.0
10518.jpg,1,50.0
10519.jpg,1,50.0
10520.jpg,2,100.0
10521.jpg,2,100.0
10524.jpg,3,100.0
10525.jpg,6,200.0
10528.jpg,1,50.0
10530.jpg,2,100.0
10531.jpg,3,150.0
10532.jpg,4,133.33333333333331
10533.jpg,2,100.0
10536.jpg,6,200.0
10538.jpg,1,50.0
10539.jpg,2,100.0
10540.jpg,0,0.0
10541.jpg,1,50.0
10542.jpg,4,200.0
10546.jpg,2,66.66666666666666
10547.jpg,3,150.0
10548.jpg,1,50.0
10550.jpg,5,166.66666666666669
10552.jpg,3,75.0
10553.jpg,3,42.857142857142854
10555.jpg,1,50.0
10556.jpg,0,0.0
10557.jpg,2,100.0
10558.jpg,0,0.0
10559.jpg,3,75.0
10561.jpg,1,50.0
10562.jpg,2,100.0
10564.jpg,4,200.0
10565.jpg,4,66.66666666666666
10566.jpg,4,133.33333333333331
10568.jpg,1,50.0
10569.jpg,1,50.0
10570.jpg,3,75.0
10571.jpg,3,100.0
10572.jpg,4,133.33333333333331
10573.jpg,1,25.0
10574.jpg,3,33.33333333333333
10575.jpg,2,66.66666666666666
10576.jpg,0,0.0
10577.jpg,5,41.66666666666667
10579.jpg,2,28.57142857142857
10580.jpg,2,40.0
10581.jpg,0,0.0
10583.jpg,3,75.0
10584.jpg,5,125.0
10585.jpg,4,133.33333333333331
10586.jpg,4,80.0
10587.jpg,3,60.0
10588.jpg,0,0.0
10592.jpg,3,100.0
10593.jpg,2,50.0
10594.jpg,3,75.0
10595.jpg,2,50.0
10596.jpg,5,125.0
10597.jpg,4,100.0
10598.jpg,4,100.0
10599.jpg,1,25.0
10600.jpg,2,50.0
10601.jpg,3,75.0
10602.jpg,3,75.0
10604.jpg,1,25.0
